,mf,mf,mf,mf,m_total,nt,nt,nt,nt_total,rf,rf,rf,rf,rf_total,s,s,s,s,s_total,ve,ve,ve,ve,ve,ve,ve,ve,ve_total,total,question 2a,question 2b,question 2c,question 2d,question 2 total,grand-total
lamarrea,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,0,0,10,10,20,80
lamchr25,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,0,2,2,2,2,2,8,23,58,5,0,10,10,25,83
leemic76,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,5,10,9,29,89
liangka7,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,0,10,6.4,21.4,81
lijiay28,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,5,8.2,10,28.2,88
liming51,2,2,2,3,10,1,1,1,5,2,2,0,3,8,2,2,2,2,10,2,2,2,2,2,2,0,8,23,56,5,0,10,3.6,18.6,75
linshar2,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,0,10,10,25,85
liujack8,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,0,2,2,2,2,2,8,23,58,5,5,9,9,28,86
liutia86,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,5,10,10,30,90
liuxi196,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,0,0,0,5,65
liuyife7,2,2,2,3,10,1,1,0,3,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,58,5,5,8.2,10,28.2,86
lizhiyu5,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,0,10,10,25,85
lukaifen,2,2,2,3,10,1,1,1,5,2,2,0,3,8,2,2,2,2,10,2,0,2,2,2,2,2,8,23,56,5,5,10,10,30,86
luochufa,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,0,2,2,2,2,2,8,23,58,5,5,10,10,30,88
luraymon,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,5,10,10,30,90
malikins,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,5,8.2,10,28.2,88
maliksu9,2,2,2,3,10,1,1,1,5,2,2,0,3,8,2,2,2,2,10,2,0,2,2,2,2,2,8,23,56,0,5,9,9,23,79
masong,2,2,0,3,8,1,1,1,5,2,2,2,3,10,2,2,2,2,10,0,0,0,0,0,0,0,2,2,35,5,5,10,1,21,56
moazmuha,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,0,0,0,0,0,0,0,3,3,38,5,0,3.6,7.2,15.8,54
nagrapa2,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,0,10,10,25,85
navabzad,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,5,10,10,30,90
nguy1916,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,0,0,7.2,10,17.2,77
ouyang20,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,0,5,10,10,25,85
patel415,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,0,2,2,2,2,2,8,23,58,0,5,10,10,25,83
poddaran,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,0,5,10,9,24,84
punfrede,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,5,9,9,28,88
ratnaya6,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,0,10,10,25,85
renjenne,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,5,7.2,7.2,24.4,84
rotholiv,0,0,0,0,0,1,1,1,5,2,2,2,3,10,2,2,2,2,10,0,0,0,0,0,0,0,0,0,25,5,5,10,10,30,55
roussel6,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,0,2,2,2,2,2,8,23,58,5,5,10,10,30,88
shanqiti,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,0,0,9,9,18,78
shenhao4,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,5,10,10,30,90
shenjunw,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,0,0,9,9,18,78
shijiaka,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,5,10,8.2,28.2,88
shiqiush,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,0,0,8.2,8.2,16.4,76
shuklah3,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,5,9,9,28,88
shwedmat,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,0,0,0,0,0,60
songzhif,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,5,10,10,30,90
srimuru3,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,0,0,10,10,20,80
stairsje,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,5,10,10,30,90
suchangl,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,7,24,59,5,5,8.2,8.2,26.4,85
suielain,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,0,5,8.2,8.2,21.4,81
tangyunn,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,5,10,10,30,90
tengmin1,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,0,10,8.2,23.2,83
tosally,2,2,2,3,10,1,1,1,5,2,2,0,3,8,2,2,2,2,10,2,0,2,2,2,2,0,8,20,53,5,5,9,7.2,26.2,79
tranmin9,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,0,8,0,0,0,0,0,0,0,0,0,33,5,0,9,9,23,56
transt19,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,0,10,10,25,85
tsaitsu3,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,5,9,5.4,24.4,84
vadayat1,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,0,2,2,2,2,2,8,23,58,5,0,10,8.2,23.2,81
vargamat,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,7,24,59,5,0,9,9,23,82
vieirav2,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,0,2,2,0,2,2,8,20,55,5,5,10,10,30,85
wangboh2,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,0,2,2,2,2,2,8,23,58,5,5,10,8.2,28.2,86
wangelen,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,0,2,2,2,2,2,8,23,58,5,5,10,10,30,88
wanghe15,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,0,7.2,0,12.2,72
wangli99,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,5,9,9,28,88
wangnic8,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,5,10,10,30,90
wangq145,2,2,2,3,10,1,1,1,5,2,2,0,3,8,2,2,2,2,10,2,0,2,2,2,2,2,8,23,56,5,0,9,9,23,79
wangt140,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,0,10,10,25,85
wangwenf,2,2,2,3,10,1,1,1,5,2,2,0,3,8,2,2,2,2,10,2,0,2,2,2,2,2,8,23,56,5,5,10,10,30,86
wujunxua,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,0,10,9,24,84
xiaxinti,2,2,2,3,10,1,1,0,3,2,2,2,3,10,2,2,2,2,10,0,0,0,0,0,0,0,8,9,42,0,0,1.8,1.8,3.6,46
xiazhong,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,0,10,10,25,85
xuyexion,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,0,2,2,2,2,2,8,23,58,5,5,7.2,7.2,24.4,82
yangmat3,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,0,2,2,2,2,2,8,23,58,5,5,10,10,30,88
yanyuqi2,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,0,10,10,25,85
yaochen8,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,0,2,2,2,2,2,8,23,58,0,0,10,10,20,78
yeqixin,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,0,8.2,10,23.2,83
yinlinta,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,0,2,2,2,2,2,8,23,58,5,0,8.2,10,23.2,81
yuqinxi,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,5,7.2,7.2,24.4,84
zhan4001,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,0,10,10,25,85
zhan4408,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,5,10,7.2,27.2,87
zhan5954,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,0,10,10,25,85
zhanzhir,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,0,2,2,2,2,2,8,23,58,5,5,8.2,8.2,26.4,84
zhaohai5,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,5,10,10,30,90
zhaoxua7,2,2,2,3,10,1,1,0,3,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,58,5,5,8.2,8.2,26.4,84
zhuhaot1,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,5,8.2,8.2,26.4,86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
