"L0" "A0" "L1" "A1" "Y"
366 0 387 0 0
323 0 323 0 1
347 0 293 0 1
252 1 367 1 0
317 0 297 0 1
334 0 323 0 0
292 0 330 0 0
357 0 351 0 1
338 0 305 0 1
326 0 362 0 1
481 0 250 0 1
370 0 375 0 0
371 0 273 0 1
376 0 285 0 0
323 0 414 0 1
325 0 456 0 0
283 1 316 1 1
416 0 302 0 1
310 0 290 1 1
306 0 365 0 0
328 0 389 0 1
355 0 236 1 1
356 0 293 0 1
309 0 409 0 1
409 0 346 0 1
339 0 372 0 0
424 0 249 0 1
334 1 321 1 1
343 0 408 0 0
372 0 360 0 1
316 0 286 0 1
369 0 354 0 1
305 0 346 1 1
327 0 230 1 1
393 0 267 0 1
377 0 283 0 0
370 0 352 0 1
354 0 292 0 0
421 0 318 0 0
309 1 443 1 1
375 0 296 0 0
319 0 266 0 1
308 0 318 0 1
334 0 366 0 1
313 0 403 1 1
406 0 285 0 1
338 1 401 1 0
294 1 410 1 1
420 0 243 0 0
351 0 309 0 1
387 0 422 0 1
350 0 361 0 0
320 1 437 1 1
276 0 293 0 0
368 0 331 0 1
357 0 391 1 1
232 1 431 1 1
387 0 299 0 1
389 0 359 0 1
413 0 304 0 0
337 0 304 0 0
291 0 341 1 1
267 0 345 0 1
333 0 264 0 0
347 0 377 0 1
340 1 371 1 1
369 0 408 0 1
358 0 349 0 1
358 0 395 0 1
390 0 277 0 0
401 0 356 0 0
343 0 325 0 1
353 0 377 0 0
304 1 440 1 1
336 1 334 1 1
416 0 284 0 0
326 0 287 0 1
243 1 378 1 0
405 0 376 0 1
368 0 226 0 0
324 0 378 0 1
307 0 373 0 0
280 1 294 1 1
383 0 393 0 1
401 0 354 0 1
439 0 422 0 1
400 0 252 0 0
328 0 384 0 0
273 0 289 0 0
355 0 313 0 0
213 1 388 1 0
324 0 272 0 1
300 0 284 0 0
312 0 380 0 1
278 0 335 0 1
320 0 464 0 1
345 0 334 0 1
462 0 354 0 1
308 0 354 1 1
368 0 408 0 1
312 0 349 0 0
299 0 399 0 1
268 1 331 1 1
342 0 260 0 1
363 0 223 0 0
347 0 319 0 1
462 0 315 0 1
391 0 318 0 1
402 0 283 0 1
381 0 298 0 0
408 0 335 0 1
340 0 256 0 1
264 0 311 0 1
324 0 424 0 1
340 0 327 0 1
347 1 391 0 0
311 0 308 0 1
404 0 220 0 1
347 0 291 0 1
316 0 331 0 1
319 0 371 0 0
320 1 462 1 1
385 0 310 0 1
375 0 353 0 1
350 0 365 0 0
327 0 348 0 1
329 0 249 1 1
359 0 320 0 0
342 0 354 0 0
407 0 326 0 1
340 0 310 0 0
384 0 257 0 1
349 0 363 0 1
344 1 305 1 1
333 0 282 0 1
283 1 219 0 0
375 0 360 0 0
346 0 290 0 1
309 1 271 1 1
314 0 269 0 0
317 0 307 0 0
364 0 369 0 1
397 0 258 0 0
347 0 369 0 1
282 1 385 1 0
228 1 268 0 0
211 1 399 1 1
391 0 348 1 1
325 0 206 0 0
410 0 330 0 0
352 0 374 0 0
339 0 340 0 0
428 1 377 0 1
260 1 446 1 1
388 0 372 0 1
353 1 419 1 1
319 1 379 1 1
326 0 274 1 1
284 0 307 0 0
388 0 391 0 1
297 0 342 0 1
340 0 415 0 1
308 0 369 0 1
377 0 308 0 1
357 0 320 0 1
394 0 378 0 1
318 0 460 0 1
450 0 396 0 1
440 0 305 0 1
318 0 343 0 1
404 0 334 0 1
280 1 374 1 1
325 0 292 0 0
374 0 253 0 0
349 0 306 0 1
276 0 349 0 0
330 0 294 0 0
346 1 352 1 1
361 0 345 0 1
465 0 384 0 1
307 0 429 0 1
448 0 401 0 0
359 0 450 0 1
341 0 324 0 1
309 1 410 1 1
308 0 359 0 1
298 0 349 0 1
354 0 373 0 1
439 0 293 0 0
282 1 400 1 0
389 0 347 0 0
361 0 318 0 1
285 1 264 1 1
385 0 392 0 1
359 0 347 0 0
422 0 392 0 1
366 0 329 0 1
401 0 244 0 0
323 0 317 0 1
374 0 291 0 0
336 1 399 1 1
299 0 328 0 0
344 0 386 0 1
339 0 367 0 1
359 0 256 0 0
344 0 412 0 1
363 0 367 0 1
322 0 292 0 1
287 0 361 0 1
256 1 346 1 0
389 0 287 0 0
246 1 313 1 0
368 0 388 0 1
388 0 283 0 1
344 0 459 0 1
321 0 303 0 1
429 0 291 0 1
206 1 345 1 0
375 0 260 0 1
294 0 275 0 0
353 0 367 0 0
355 0 345 0 0
339 1 365 1 1
326 0 359 0 0
435 0 388 1 1
366 0 363 1 1
383 0 340 0 0
376 0 307 0 1
369 0 333 0 1
378 0 349 0 0
406 0 269 0 1
369 0 324 0 1
356 0 252 0 0
347 0 242 0 1
367 0 329 0 0
362 0 293 1 1
407 0 268 0 0
386 0 289 0 1
361 0 293 0 0
345 0 325 0 0
436 0 292 0 1
299 0 320 0 1
315 0 391 0 0
348 0 249 0 0
312 0 274 0 0
331 0 374 0 0
452 0 321 0 0
260 1 341 1 1
407 0 385 0 1
288 1 327 1 1
290 0 328 0 0
396 0 358 1 1
312 0 306 0 1
285 1 443 1 1
361 0 379 0 1
357 0 213 0 0
427 0 318 0 1
286 1 467 1 1
260 1 355 1 1
357 0 314 1 1
353 0 375 0 1
258 1 391 1 1
378 0 204 1 1
311 0 304 0 1
351 0 335 0 1
268 0 318 0 1
329 0 274 0 0
374 0 375 1 1
310 0 324 0 0
378 0 292 0 0
430 0 328 0 0
311 0 334 0 1
322 0 287 0 1
374 0 359 0 0
330 0 391 0 1
343 0 248 0 0
276 0 348 0 1
344 0 350 1 1
264 0 318 0 1
324 0 306 0 1
326 0 440 0 1
335 1 430 1 1
308 0 236 0 1
258 1 312 1 1
376 0 380 0 1
302 1 283 1 0
401 0 282 0 1
473 0 360 0 1
292 0 335 0 1
361 0 409 0 0
337 0 342 1 1
425 0 243 0 1
385 0 345 0 1
382 0 392 0 0
450 0 405 0 1
370 0 399 0 0
263 1 364 1 1
385 0 390 0 1
395 0 439 1 1
398 0 305 0 0
365 0 250 0 0
330 1 380 1 1
335 0 402 0 1
405 0 360 0 1
406 0 425 0 1
261 1 394 1 1
349 0 343 0 1
398 0 373 0 0
428 0 254 0 0
303 0 227 0 0
388 0 355 0 1
320 0 364 0 1
375 0 248 0 1
289 1 408 1 1
286 0 376 0 1
284 1 439 1 1
418 0 319 0 1
307 1 334 1 0
286 0 362 0 1
361 0 277 0 0
366 0 289 0 1
313 1 310 1 1
393 0 315 0 0
377 0 418 0 0
404 0 293 1 1
375 0 386 0 1
316 0 371 0 1
311 0 343 0 0
343 0 326 0 1
309 0 330 0 0
323 0 344 0 0
379 0 407 0 0
450 0 261 1 1
296 1 349 1 1
435 0 341 1 1
385 0 364 1 1
362 0 346 0 0
382 0 344 0 0
352 0 421 0 1
335 0 285 0 0
393 0 421 1 1
344 0 348 0 0
370 0 413 0 1
327 0 347 0 1
328 0 347 0 1
319 1 374 1 0
351 0 317 1 1
337 0 464 0 1
330 0 294 0 0
218 0 374 0 1
388 0 329 0 1
406 0 381 0 1
302 0 329 0 1
351 0 374 0 1
349 0 387 0 1
362 0 294 0 0
358 0 379 0 1
454 0 329 0 1
303 0 310 0 1
364 0 309 0 1
355 0 359 0 0
276 1 405 1 1
357 0 306 0 1
281 1 343 1 1
394 0 305 0 0
397 0 284 0 0
368 0 386 0 1
362 0 292 0 1
386 0 357 0 1
406 0 303 0 1
384 0 250 0 1
383 0 305 0 1
347 1 335 1 1
350 0 382 0 1
298 1 330 1 1
377 0 281 0 1
331 0 351 1 1
326 1 360 1 1
359 0 298 0 1
414 0 332 0 1
428 0 221 0 1
411 0 367 0 1
295 0 267 0 1
341 0 295 0 1
351 0 261 0 1
328 0 402 0 0
430 0 315 0 0
343 0 287 0 0
375 0 370 0 1
295 0 357 0 1
438 0 301 0 0
373 0 244 0 0
345 0 372 0 1
437 0 351 0 0
452 0 349 0 1
353 0 395 0 0
298 1 374 1 1
278 1 371 1 1
254 1 459 1 1
365 0 378 0 0
399 0 360 1 1
288 1 253 1 1
394 0 351 0 1
408 0 296 0 1
353 0 368 0 1
406 0 340 0 0
445 0 316 0 1
400 0 396 0 1
301 1 351 1 1
411 0 398 0 1
232 1 297 0 1
348 1 347 1 1
306 0 299 0 1
379 0 317 0 1
326 0 310 0 0
309 0 303 0 0
397 0 372 0 1
205 0 402 0 0
331 0 401 0 0
408 0 242 0 1
395 0 205 0 0
386 0 259 0 0
444 0 316 0 1
262 0 278 0 0
366 0 315 0 1
360 0 354 0 0
338 0 218 0 0
369 0 284 0 0
382 0 148 0 1
380 0 385 0 0
305 1 441 1 1
370 0 310 1 1
362 0 440 0 1
354 0 320 0 0
477 0 431 0 0
324 1 457 0 1
369 0 318 0 1
319 0 320 0 1
327 0 352 0 1
340 1 318 1 1
315 1 460 1 1
371 0 297 0 1
376 0 316 0 0
394 0 443 0 1
406 0 321 0 1
370 0 314 0 1
415 0 219 0 0
328 0 421 0 1
385 0 395 0 0
393 0 327 0 1
247 0 338 0 0
327 0 342 1 0
391 0 327 0 1
317 1 481 0 1
324 0 290 0 0
327 0 442 0 1
349 0 342 0 1
346 0 297 0 0
305 0 352 0 0
366 0 317 1 1
303 0 337 0 1
362 0 237 0 1
452 0 328 0 1
352 0 366 0 1
302 1 287 1 1
362 0 388 0 1
365 0 324 0 1
366 0 354 0 1
340 0 365 0 1
301 0 292 0 0
296 0 352 0 0
291 0 225 0 1
317 0 268 0 1
323 0 292 0 1
446 0 314 0 0
290 0 353 0 1
415 0 312 0 1
314 0 289 0 0
340 0 264 0 1
413 0 350 0 1
419 0 290 0 1
336 0 365 0 0
407 0 349 0 1
323 0 355 0 0
369 0 336 0 0
236 1 399 1 1
304 0 344 0 1
356 0 267 1 1
280 0 307 0 0
359 0 237 0 1
482 0 315 0 1
299 0 414 0 0
312 1 254 1 1
385 0 281 0 1
376 0 287 0 0
274 1 325 1 1
300 1 384 1 1
418 0 320 0 1
376 0 291 0 0
368 0 298 0 1
409 0 395 0 1
299 0 443 0 0
392 0 314 0 0
362 0 364 0 1
336 0 372 0 1
375 0 323 0 0
324 0 353 0 1
287 0 409 0 1
456 0 326 0 0
388 0 377 0 1
397 0 351 0 1
342 0 356 0 0
318 0 306 0 1
381 0 295 0 1
313 0 323 0 0
310 1 349 1 0
335 0 388 1 1
328 0 300 0 0
352 0 252 0 0
369 0 331 0 1
363 0 370 0 1
382 0 321 0 1
310 0 372 0 0
371 0 363 0 1
418 0 388 0 0
436 0 278 0 0
420 0 345 0 0
350 0 302 1 1
288 0 384 0 0
406 0 364 0 1
301 1 274 1 0
366 0 359 0 0
382 0 465 0 1
363 0 287 0 0
409 0 367 0 1
328 0 353 1 1
373 0 344 1 1
246 1 264 1 1
356 0 433 0 0
377 0 334 0 0
337 0 479 0 0
407 0 274 0 1
403 0 389 0 1
361 0 324 0 1
259 1 387 0 0
399 0 347 0 1
324 0 285 0 1
355 0 376 0 1
406 0 314 0 0
338 0 316 0 0
394 0 240 0 1
406 0 262 0 0
361 0 317 0 1
363 0 424 0 1
306 0 301 0 0
344 0 354 0 0
320 0 288 0 1
310 1 351 1 0
334 0 279 0 0
362 0 347 1 1
272 1 365 1 1
299 0 332 0 1
367 0 276 0 1
269 1 334 1 0
323 0 269 0 0
381 0 310 0 0
373 0 365 0 0
347 0 302 0 0
286 1 259 1 1
457 0 291 0 1
301 1 432 1 1
423 0 302 0 0
336 0 420 0 0
334 0 360 0 1
363 1 324 1 1
277 0 429 0 0
372 0 318 0 0
286 0 282 0 1
369 0 285 0 1
293 0 387 0 1
371 0 379 0 0
326 0 316 0 0
407 0 369 0 1
396 0 387 0 0
263 0 352 0 0
423 0 320 0 0
423 0 393 0 1
356 0 238 0 0
377 1 358 1 0
357 0 321 0 1
303 0 394 0 0
328 0 371 0 1
336 0 372 0 0
397 0 299 0 0
238 1 259 1 0
405 0 287 0 0
291 0 312 0 0
386 0 334 1 1
333 0 295 0 1
335 0 342 0 0
409 0 380 0 1
266 1 290 0 0
327 0 333 0 0
330 0 321 0 1
335 1 305 1 1
339 0 346 0 0
291 0 372 0 1
365 0 403 0 1
326 0 420 0 1
344 0 269 0 0
432 0 307 0 1
315 0 369 0 1
233 1 353 1 0
328 1 293 0 0
404 0 307 0 1
324 0 327 0 1
340 0 323 0 0
366 0 282 0 0
494 0 328 0 1
379 0 293 0 1
437 0 350 0 1
244 1 278 1 1
272 0 386 0 1
416 0 353 1 1
360 0 295 0 1
321 0 288 0 0
394 0 273 0 0
356 0 286 0 0
418 0 365 0 1
447 0 292 0 1
280 1 374 1 1
322 0 287 1 1
315 1 339 1 1
350 0 298 0 1
335 0 369 0 1
277 0 338 0 0
321 0 347 0 1
341 0 335 0 1
315 0 332 0 1
273 0 332 0 1
384 0 381 0 1
383 0 404 0 1
360 1 397 1 1
348 0 283 0 0
333 0 388 0 1
231 0 423 0 1
340 0 399 0 1
300 0 263 0 0
