"Timestamp","teach.cs ID","What is P(B=true|A=true)?","What is P(C=true|A=true)?","What is P(C=true|A=true, E=false)?","What is P(C=true|A=true, F=false)?","V1","V2","V3","V1","V2","V3","V0","d0","V1","d1","V2","d2","V3","d3","V4","d4","V5","d5","What is P(V0=d0|V1=d1,V2=d2,V3=d3,V4=d4,V5=d5)?","V0","d0","V1","d1","V2","d2","V3","d3","V4","d4","V5","d5","What is P(V0=d0|V1=d1,V2=d2,V3=d3,V4=d4,V5=d5)?"
"2020/03/28 10:24:49 PM MDT","liangfe5","0.5","0.5","0.571","0.5","Voltage at plug","Spark quality","Battery voltage","Air filter","Car cranks","Car starts","Car starts","false","Spark quality","bad","Car cranks","false","Fuel system","faulty","Starter system","faulty","Voltage at plug","weak","0.5","Starter system","okay","Charging system","okay","Battery voltage","weak","Battery age","very_old","Starter motor","faulty","Main fuse","blown","0"
"2020/03/28 11:21:42 PM MDT","verreau4","0.5454545454545455","0.9454545454545454","0.9585253456221199","0.9454545454545454","Charging system","Alternator","Battery voltage","Charging system","Battery age","Battery voltage","Car starts","true","Alternator","okay","Charging system","okay","Battery voltage","strong","Starter system","okay","Car cranks","true","0.7279347113300155","Car starts","false","Alternator","okay","Charging system","okay","Battery voltage","strong","Starter system","okay","Car cranks","true","0.2720652886699845"
"2020/03/28 11:55:57 PM MDT","zhouxi82","0.5","0.5","0.57","0.5","Charging system","Battery voltage","Alternator","Battery age","Charging system","Battery voltage","Car starts","true","Car cranks","true","Starter system","okay","Battery voltage","strong","Fuel system","okay","Spark quality","good","0.955","Car starts","true","Spark timing","bad","Air system","faulty","Fuel system","faulty","Distributer","faulty","Car cranks","false","0.0"
"2020/03/29 2:51:23 PM MDT","wuyucan","0.5","0.5","0.571428","0.5","Air system","Air filter","Car starts","Air system","Fuel system","Car starts","Car starts","true","Alternator","okay","Charging system","okay","Battery voltage","strong","Starter system","okay","Car cranks","true","0.7279347","Car starts","true","Alternator","okay","Charging system","okay","Battery voltage","strong","Starter system","okay","Car cranks","true","0.272065"
"2020/03/29 3:51:05 PM MDT","wuyucan","0.5","0.5","0.57142857","0.5","Air system","Air filter","Car starts","Air system","Fuel system","Car starts","Car starts","ture","Spark quality","good","Fuel system","okay","Spark timing","good","Starter system","okay","Air filter","clean","0.7768","Car starts","false","Spark quality","good","Fuel system","okay","Spark timing","good","Starter system","okay","Air filter","clean","0.2232"
"2020/03/29 5:30:40 PM MDT","saigalad","0.5","0.5","0.5714","0.5","Battery voltage","Distributer","Alternator","Voltage at plug","Spark plugs","Car starts","Starter system","Okay","Starter motor","Okay","Car starts","True","Battery age","New","Charging system","Okay","Car cranks","True","0.9986","Main fuse","Okay","Starter system","Faulty","Car starts","False","Voltage at plug","None","Car cranks","False","Spark quality","Very Bad","0.974"
"2020/03/29 6:11:55 PM MDT","wangs291","0.5","0.5","0.5714","0.5","Charging system","Alternator","Battery voltage","Headlights","Starter motor","Starter system","Car starts","true","Air system","okay","Car cranks","true","Spark timing","good","Fuel system","okay","Spark quality","good","0.99","Car starts","false","Air system","okay","Car cranks","true","Spark timing","good","Fuel system","okay","Spark quality","good","0.01"
"2020/03/29 7:10:52 PM MDT","nijingwe","0.9091","0.9091","0.9302","0.9091","Spark quality","Spark plugs","Car starts","Spark plugs","Voltage at plug","Spark quality","Car starts","true","Spark quality","good","Fuel system","okay","Spark timing","good","Starter system","okay","Air system","okay","0.792","Car starts","true","Spark quality","bad","Fuel system","faulty","Spark timing","bad","Starter system","faulty","Air system","faulty","0.0005"
"2020/03/29 7:25:01 PM MDT","broadbr3","0.5","0.5","0.57","0.5","Charging system","Alternator","Battery voltage","Charging system","Battery age","Battery voltage","Car starts","true","Alternator","okay","Charging system","okay","Battery voltage","strong","Starter system","okay","Car cranks","true","0.73","Car starts","false","Alternator","okay","Charging system","okay","Battery voltage","strong","Starter system","okay","Car cranks","true","0.27"
"2020/03/29 7:52:54 PM MDT","nijingwe","0.5","0.5","0.5714","0.5","Spark quality","Spark plugs","Car starts","Spark plugs","Voltage at plug","Spark quality","Car starts","true","Spark quality","good","Fuel system","okay","Spark timing","good","Starter system","okay","Air system","okay","0.792","Car starts","true","Spark quality","bad","Fuel system","faulty","Spark timing","bad","Starter system","faulty","Air system","faulty","0.0005"
"2020/03/29 8:39:35 PM MDT","heymanan","0.5","0.5","0.571429","0.5","Charging system","Alternator","Battery voltage","Charging system","Battery age","Battery voltage","Alternator","okay","Main fuse","blown","Battery voltage","strong","Battery age","old","Distributer","faulty","Charging system","okay","1","Alternator","okay","Battery voltage","weak","Battery age","new","Charging system","faulty","Distributer","faulty","Headlights","bright","0"
"2020/03/29 9:40:39 PM MDT","zhaoch27","0.5","0.5","0.571428","0.5","Starter system","Starter motor","Car cranks","Starter system","Spark timing","Main fuse","Starter system","okay","Starter motor","okay","Main fuse","okay","Charging system","okay","Battery age","new","Battery voltage","strong","0.98","Starter system","okay","Alternator","faulty","Battery age","old","Battery voltage","dead","Starter motor","faulty","Main fuse","blown","0"
"2020/03/29 9:40:52 PM MDT","zhaoch27","0.5","0.5","0.571428","0.5","Starter system","Starter motor","Car cranks","Starter system","Spark timing","Main fuse","Starter system","okay","Starter motor","okay","Main fuse","okay","Charging system","okay","Battery age","new","Battery voltage","strong","0.98","Starter system","okay","Alternator","faulty","Battery age","old","Battery voltage","dead","Starter motor","faulty","Main fuse","blown","0"
"2020/03/29 10:22:31 PM MDT","chenha94","0.5","0.5","0.5714285714285714","0.5","Charging system","Battery voltage","Alternator","Charging system","Battery age","Battery voltage","Car starts","true","Spark quality","good","Fuel system","okay","Spark timing","good","Car cranks","true","Air system","faulty","0.9899999999999999","Car starts","true","Spark quality","bad","Spark timing","very_bad","Air system","faulty","Fuel system","faulty","Car cranks","false","0"
"2020/03/30 1:48:07 PM MDT","elegiro","0.5","0.5","0.5714285714285714","0.5","Battery age","Main fuse","Alternator","Alternator","Battery age","Starter system","Alternator","okay","Battery age","new","Battery voltage","strong","Main fuse","okay","Starter system","okay","Spark plugs","okay","0.9999497473758708","Car starts","true","Battery age","old","Battery voltage","weak","Main fuse","blown","Distributer","faulty","Starter motor","faulty","0"
"2020/03/30 2:12:44 PM MDT","lamhoan","0.5","0.5","0.5714285714285714","0.5","Car starts","Spark plugs","Spark quality","Spark plugs","Air filter","Car starts","Car starts","true","Car cranks","true","Spark quality","good","Air system","okay","Spark timing","good","Fuel system","okay","0.99","Car starts","false","Fuel system","okay","Spark quality","good","Spark timing","good","Car cranks","true","Air system","okay","0.01"
"2020/03/30 5:20:02 PM MDT","harrisp5","0.5","0.5","0.57","0.5","Battery voltage","Alternator","Headlights","Distributer","Alternator","Car starts","Car starts","true","Car cranks","true","Starter system","okay","Battery voltage","strong","Voltage at plug","strong","Spark plugs","okay","0.87","Car cranks","true","Distributer","okay","Battery age","old","Charging system","faulty","Headlights","off","Starter system","faulty","0.05"
"2020/03/30 5:32:22 PM MDT","harrisp5","0.5","0.5","0.57","0.5","Battery voltage","Alternator","Headlights","Distributer","Alternator","Car starts","Car starts","true","Car cranks","true","Starter system","okay","Battery voltage","strong","Voltage at plug","strong","Spark plugs","okay","0.87","Car cranks","true","Distributer","okay","Battery age","old","Charging system","faulty","Headlights","off","Starter system","faulty","0.05"
"2020/03/30 5:47:25 PM MDT","hazzour4","0.5","0.5","0.571428","0.5","Alternator","Air filter","Charging system","Air system","Fuel system","Car starts","Car starts","true","Alternator","okay","Charging system","okay","Battery voltage","strong","Voltage at plug","strong","Spark quality","good","0.679","Car starts","false","Alternator","okay","Charging system","okay","Battery voltage","strong","Voltage at plug","strong","Spark quality","good","0.321"
"2020/03/30 5:47:26 PM MDT","loutfige","0.5","0.5","0.571428","0.5","Alternator","Battery age","Charging system","Charging system","Battery age","Battery voltage","Car starts","true","Alternator","okay","Charging system","okay","Battery voltage","strong","Voltage at plug","strong","Spark quality","good","0.679","Car starts","false","Alternator","okay","Charging system","okay","Battery voltage","strong","Voltage at plug","strong","Spark quality","good","0.321"
"2020/03/30 6:00:55 PM MDT","f","1","1","1","1","Battery voltage","Voltage at plug","Headlights","Battery voltage","Battery age","Voltage at plug","Alternator","1","Charging system","1","Battery age","1","Starter system","1","Spark quality","1","Air system","1","1","Battery age","1","Alternator","1","Voltage at plug","1","Car cranks","1","Spark plugs","1","Air system","1","1"
"2020/03/30 8:03:31 PM MDT","shiyong",".5","0.5","0.57143","0.5","Charging system","Alternator","Battery voltage","Starter system","Headlights","Battery voltage","Car starts","False","Spark timing","Very bad","Air system","Faulty","Spark plugs","Bad","Fuel system","Faulty","Car cranks","True","1","Car starts","False","Car cranks","True","Fuel system","Okay","Spark quality","Good","Air system","Okay","Spark timing","Good","0.01"
"2020/03/30 8:58:53 PM MDT","leetim13","0.5","0.5","0.5714285714285714","0.5","Charging system","Alternator","Battery voltage","Spark plugs","Voltage at plug","Spark quality","Car starts","true","Charging system","true","Starter system","okay","Battery voltage","strong","Spark timing","good","Voltage at plug","strong","0.797","Car starts","true","Air system","faulty","Spark plugs","fouled","Battery age","old","Distributer","faulty","Starter motor","faulty","0.001"
"2020/03/30 10:39:01 PM MDT","shensiya","0.5","0.5","0.57","0.5","Starter system","Starter motor","Car cranks","Voltage at plug","Spark plugs","Spark quality","Car starts","true","Air system","okay","Fuel system","okay","Car cranks","true","Spark quality","good","Spark timing","good","0.99","Car starts","true","Spark quality","bad","Fuel system","faulty","Spark timing","good","Air system","faulty","Car cranks","true","0.02"
"2020/03/30 11:03:38 PM MDT","shentuc2","0.50","0.50","0.57","0.50","Main fuse","Battery age","Alternator","Voltage at plug","Spark plugs","Spark quality","Car starts","'true'","Alternator","'okay'","Charging system","'okay'","Battery voltage","'strong'","Starter system","'okay'","Car cranks","'true'","0.73","Car starts","'false'","Alternator","'okay'","Charging system","'okay'","Battery voltage","'strong'","Starter system","'okay'","Car cranks","'true'","0.27"
"2020/03/31 3:26:35 AM MDT","onchris","0.5","0.5","0.57142857142","0.5","Voltage at plug","Main fuse","Spark quality","Voltage at plug","Spark plugs","Spark quality","Car starts","false","Car cranks","true","Air system","faulty","Spark timing","bad","Fuel system","faulty","Spark quality","bad","0.9900000000000001","Car starts","true","Car cranks","true","Air system","faulty","Spark timing","bad","Fuel system","faulty","Spark quality","bad","0.010000000000000002"
"2020/03/31 3:29:01 AM MDT","onchris","0.5","0.5","0.57142857142","0.5","Voltage at plug","Main fuse","Spark quality","Voltage at plug","Spark plugs","Spark quality","Car starts","false","Car cranks","true","Air system","faulty","Spark timing","bad","Fuel system","faulty","Spark quality","bad","0.9900000000000001","Car starts","true","Car cranks","true","Air system","faulty","Spark timing","bad","Fuel system","faulty","Spark quality","bad","0.010000000000000002"
"2020/03/31 3:34:51 AM MDT","onchris","0.5","0.5","0.57142857142","0.5","Voltage at plug","Main fuse","Spark quality","Voltage at plug","Spark plugs","Spark quality","Car starts","false","Car cranks","true","Air system","faulty","Spark timing","bad","Fuel system","faulty","Spark quality","bad","0.99","Car starts","true","Car cranks","true","Air system","faulty","Spark timing","bad","Fuel system","faulty","Spark quality","bad","0.01"
"2020/03/31 12:17:43 PM MDT","rabino34","0.33","0.29","0.35","0.28","Charging system","Alternator","Battery voltage","Charging system","Battery age","Battery voltage","Car starts","true","Distributer","strong","Voltage at plug","strong","Spark quality","good","Spark timing","good","Fuel system","okay","0.75","Car starts","false","Distributer","strong","Voltage at plug","strong","Spark quality","good","Spark timing","good","Fuel system","okay","0.25"
"2020/03/31 1:54:33 PM MDT","wangan28","0.5","0.5","0.5714285714285714","0.5","Charging system","Alternator","Battery voltage","Charging system","Battery age","Battery voltage","Spark quality","good","Battery voltage","strong","Main fuse","okay","Distributer","okay","Voltage at plug","strong","Spark plugs","okay","1.0","Car starts","false","Air system","okay","Car cranks","true","Spark timing","good","Fuel system","okay","Spark quality","good","0.01"
"2020/03/31 3:21:39 PM MDT","xiangji5","0.5","0.5","0.57143","0.5","Battery age","Air system","Alternator","Alternator","Battery age","Battery voltage","Battery voltage","strong","Alternator","okay","Charging system","okay","Battery age","new","Starter system","okay","Voltage at plug","strong","1","Air system","faulty","Distributer","okay","Car starts","true","Battery voltage","strong","Voltage at plug","strong","Spark plugs","okay","0.1324232"
"2020/03/31 3:37:21 PM MDT","lefasath","0.5","0.5","0.57","0.5","Air system","Air filter","Car starts","Starter motor","Battery voltage","Starter system","Car starts","true","Car cranks","true","Spark timing","good","Fuel system","okay","Spark quality","good","Air system","okay","0.99","Car starts","false","Air system","okay","Car cranks","true","Spark timing","good","Fuel system","okay","Spark quality","good","0.01"
"2020/03/31 4:08:44 PM MDT","bishayyo","0.5","0.5","0.571","0.5","Battery voltage","Spark plugs","Voltage at plug","Battery voltage","Starter motor","Starter system","Car starts","true","Alternator","okay","Charging system","okay","Battery voltage","strong","Voltage at plug","strong","Spark quality","good","0.679","Car starts","false","Alternator","okay","Charging system","okay","Battery voltage","strong","Voltage at plug","strong","Spark quality","good","0.321"
"2020/03/31 6:24:35 PM MDT","kongli14","0.5","0.5","0.5714285714285714","0.5","Charging system","Alternator","Battery voltage","Alternator","Battery age","Battery voltage","Car starts","true","Spark quality","good","Fuel system","okay","Spark timing","good","Car cranks","true","Air system","okay","0.99","Car starts","false","Spark quality","good","Fuel system","okay","Spark timing","good","Car cranks","true","Air system","okay","0.01"
"2020/03/31 6:51:24 PM MDT","mawyinmi","0.5","0.5","0.57","0.5","Distributer","Main fuse","Spark timing","Voltage at plug","Spark timing","Distributer","Spark quality","good","Fuel system","okay","Spark timing","good","Car cranks","true","Air system","okay","Car starts","true","0.99","Spark quality","very bad","Fuel system","faulty","Spark timing","very bad","Car cranks","false","Air system","faulty","Car starts","true","0.15"
"2020/03/31 6:55:39 PM MDT","lumeng5","0.5","0.5","0.5714","0.5","Battery voltage","Charging system","Headlights","Fuel system","Air system","Car starts","Car starts","true","Air system","okay","Spark timing","good","Spark quality","good","Fuel system","okay","Car cranks","true","0.99","Car starts","false","Air system","okay","Spark timing","good","Spark quality","good","Fuel system","okay","Car cranks","true","0.01"
"2020/03/31 7:05:14 PM MDT","chengj60","0.5","0.5","0.5714285714285714","0.5","Battery voltage","Headlights","Starter system","Distributer","Main fuse","Voltage at plug","Car starts","true","Spark quality","good","Fuel system","okay","Spark timing","good","Car cranks","true","Air system","okay","0.9899999999999999","Car starts","false","Spark quality","good","Fuel system","okay","Spark timing","good","Car cranks","true","Air system","okay","0.009999999999999998"
"2020/03/31 7:50:44 PM MDT","huyouzhi","0.5","0.5","0.571","0.5","Charging system","Alternator","Battery voltage","Fuel system","Air system","Car starts","Car starts","true","Alternator","okay","Charging system","okay","Battery voltage","strong","Starter system","okay","Car cranks","true","0.728","Car starts","false","Alternator","okay","Charging system","okay","Battery voltage","strong","Starter system","okay","Car cranks","true","0.272"
"2020/03/31 8:13:19 PM MDT","yuanbei1","0.5","0.5","0.5714","0.5","Starter system","Starter motor","Car cranks","Car cranks","Air system","Car starts","Car starts","true","Air system","okay","Fuel system","okay","Car cranks","true","Spark quality","good","Spark timing","good","0.99","Car starts","false","Air system","okay","Fuel system","okay","Car cranks","true","Spark quality","good","Spark timing","good","0.01"
"2020/03/31 9:01:40 PM MDT","losteffy","0.5","0.5","0.5714285714285714","0.5","Battery voltage","Battery age","Voltage at plug","Starter motor","Battery voltage","Starter system","Voltage at plug","okay","Main fuse","okay","Distributer","okay","Charging system","okay","Battery age","new","Battery voltage","strong","0.9","Voltage at plug","none","Main fuse","okay","Distributer","okay","Charging system","okay","Battery age","new","Battery voltage","strong","0.05"
"2020/03/31 9:40:34 PM MDT","zouzhihe","0.65","0.68","0.74","0.71","Distributer","Voltage at plug","Spark timing","Fuel system","Air filter","Car starts","Car starts","true","Car cranks","true","Starter system","okay","Battery voltage","strong","Charging system","okay","Alternator","okay","0.73","Car starts","true","Car cranks","false","Starter system","faulty","Battery voltage","dead","Charging system","faulty","Alternator","faulty","0"
"2020/03/31 10:13:03 PM MDT","khatta25","0.5","0.5","0.5714285714285714","0.5","Starter system","Starter motor","Car cranks","Battery voltage","Main fuse","Charging system","Car starts","true","Car cranks","true","Starter system","okay","Battery voltage","strong","Fuel system","okay","Air system","okay","0.8256696720822968","Car starts","false","Car cranks","true","Starter system","okay","Battery voltage","strong","Fuel system","okay","Air system","okay","0.17433032791770325"
"2020/03/31 10:20:43 PM MDT","khatta25","0.5","0.5","0.5714285714285714","0.5","Starter system","Starter motor","Car cranks","Battery voltage","Main fuse","Charging system","Car starts","true","Car cranks","true","Starter system","okay","Battery voltage","strong","Fuel system","okay","Air system","okay","0.8256696720822968","Car starts","false","Car cranks","true","Starter system","okay","Battery voltage","strong","Fuel system","okay","Air system","okay","0.17433032791770325"
"2020/03/31 11:13:53 PM MDT","utamast1","0.5","0.5","0.5714285714285714","0.5","Starter system","Starter motor","Car cranks","Voltage at plug","Spark timing","Distributer","Car starts","true","Air system","okay","Car cranks","true","Spark timing","good","Fuel system","okay","Spark quality","good","0.9899999999999999","Car starts","true","Car cranks","true","Air system","faulty","Spark timing","bad","Fuel system","faulty","Spark quality","bad","0.010000000000000002"
"2020/04/01 4:49:09 AM MDT","lifu1","0.5","0.5","0.57142857142","0.5","Air system","Air filter","Car starts","Air system","Car cranks","Car starts","Car starts","true","Spark quality","good","Fuel system","okay","Spark timing","good","Car cranks","true","Air system","okay","0.9899999999999999","Car starts","True","Fuel system","faulty","Spark plugs","fouled","Spark timing","bad","Air system","faulty","Car cranks","false","0.0"
"2020/04/01 10:00:44 AM MDT","yangru30","0.5","0.5","0.5714285714285714 ","0.5","Car starts","Air system","Air filter","Spark plugs","Spark quality","Voltage at plug","Spark timing","bad","Air system","okay","Fuel system","okay","Car cranks","true","Spark quality","good","Starter system","okay","0.986","Car cranks","true","Headlights","off","Charging system","faculty","Battery voltage","strong","Starter system","okay","Main fuse","blown","0.132"
"2020/04/01 10:52:08 AM MDT","nickooie","0.5","0.5","0.5714285714285714","0.5","Main fuse","Car cranks","Car starts","Car cranks","Fuel system","Car starts","Spark timing","very_bad","Car starts","false","Car cranks","true","Air system","okay","Fuel system","okay","Spark plugs","okay","0.035822078993238686","Car cranks","true","Car starts","false","Air system","okay","Spark timing","good","Fuel system","okay","Spark plugs","okay","0.19572076940930402"
"2020/04/01 10:53:39 AM MDT","yuanyu21","0.5","0.5","0.57","0.5","Car starts","Air filter","Air system","Spark quality","Spark plugs","Voltage at plug","Car starts","true","Air system","okay","Fuel system","okay","Car cranks","true","Spark quality","good","Spark plugs","okay","0.99","Voltage at plug","okay","Distributer","okay","Main fuse","okay","Battery voltage","weak","Charging system","faulty","Battery age","old","0"
"2020/04/01 11:17:09 AM MDT","taovicto","0.5","0.5","0.5714","0.5","Air system","Air filter","Car starts","Spark plugs","Voltage at plug","Spark quality","Car starts","true","Alternator","okay","Charging system","okay","Battery voltage","strong","Starter system","okay","Car cranks","true","0.728","Car starts","false","Alternator","okay","Charging system","okay","Battery voltage","strong","Starter system","okay","Car cranks","true","0.272"
"2020/04/01 12:23:23 PM MDT","chenj371","0.5","0.5","0.57","0.5","Battery voltage","Headlights","Distributer","Car cranks","Air system","Car starts","Car starts","true","Air system","okay","Fuel system","okay","Car cranks","true","Alternator","okay","Spark quality","good","0.986","Car starts","false","Air system","okay","Fuel system","okay","Car cranks","true","Alternator","okay","Spark quality","good","0.014"
"2020/04/01 3:20:32 PM MDT","wangru72","0.50","0.50","0.57","0.50","Charging system","Battery voltage","Alternator","Charging system","Battery age","Battery voltage","Car starts","true","Spark quality","good","Fuel system","okay","Spark timing","good","Car cranks","true","Air system","okay","0.99","Car starts","true","Spark timing","bad","Air filter","dirty","Starter motor","faulty","Fuel system","faulty","Voltage at plug","none","0.0"
